origin,destination,count
1,73,4
4,137,35
5,209,1
4,209,1
1,1103,2
4,1239,221
1,1659,1
1,1741,2
1,2108,1660
5,2152,5
5,2828,4
1,2852,4
4,3265,548
1,3307,2044
5,3462,2
3,3462,2
6,3462,2
1,3561,10
5,3561,1
4,3671,784234
1,3786,1
1,4134,1
5,4134,23
3,4134,2
6,4134,2
1,4323,1
4,4323,1
3,4323,1
6,4323,1
1,4538,4
1,4565,2
1,4795,2
1,4837,2
5,4837,5
1,6057,2
5,6356,2
1,6385,2
1,6395,2
4,6405,3
1,6478,4
4,6517,1
1,6746,34
4,6746,3
1,7132,2
4,7132,10
5,7482,1
5,8070,4
5,8075,7
3,8151,2
1,8167,2
6,8434,1
4,8708,53
5,9371,1
4,9498,2
3,9584,1
4,9829,53
1,9908,1
3,9916,205
6,9916,79
3,11279,2
6,11279,2
1,11456,3
5,13768,3
5,13867,2
1,14778,2
1,15169,2
3,15169,3
6,15169,2
4,16339,1
1,17200,4
3,17464,19
6,17464,16
3,17716,2
1,17813,2
3,18566,5
6,18566,6
4,19548,1
3,19742,1
6,19742,1
1,21844,1
4,22196,10
3,24679,1
6,24679,2
3,27257,1
3,29096,3
6,29096,5
4,31976,120
3,33260,1
6,33260,2
1,33438,1663
1,37945,1
1,39632,15